ID,Title,Difficulty,Acceptance Rate,URL
3586,Find COVID Recovery Patients,Medium,39.8,https://leetcode.com/problems/find-covid-recovery-patients/
3580,Find Consistently Improving Employees,Medium,59.1,https://leetcode.com/problems/find-consistently-improving-employees/
3565,Sequential Grid Path Cover,Medium,66.16,https://leetcode.com/problems/sequential-grid-path-cover/
3564,Seasonal Sales Analysis,Medium,64.0,https://leetcode.com/problems/seasonal-sales-analysis/
3572,Maximize Y‑Sum by Picking a Triplet of Distinct X‑Values,Medium,61.35,https://leetcode.com/problems/maximize-ysum-by-picking-a-triplet-of-distinct-xvalues/
3573,Best Time to Buy and Sell Stock V,Medium,38.63,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-v/
3555,Smallest Subarray to Sort in Every Sliding Window,Medium,67.31,https://leetcode.com/problems/smallest-subarray-to-sort-in-every-sliding-window/
3583,Count Special Triplets,Medium,36.67,https://leetcode.com/problems/count-special-triplets/
3567,Minimum Absolute Difference in Sliding Submatrix,Medium,68.57,https://leetcode.com/problems/minimum-absolute-difference-in-sliding-submatrix/
3540,Minimum Time to Visit All Houses,Medium,70.26,https://leetcode.com/problems/minimum-time-to-visit-all-houses/
3576,Transform Array to All Equal Elements,Medium,31.54,https://leetcode.com/problems/transform-array-to-all-equal-elements/
3568,Minimum Moves to Clean the Classroom,Medium,25.14,https://leetcode.com/problems/minimum-moves-to-clean-the-classroom/
3521,Find Product Recommendation Pairs,Medium,63.39,https://leetcode.com/problems/find-product-recommendation-pairs/
3577,Count the Number of Computer Unlocking Permutations,Medium,37.81,https://leetcode.com/problems/count-the-number-of-computer-unlocking-permutations/
3520,Minimum Threshold for Inversion Pairs Count,Medium,53.01,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count/
3561,Resulting String After Adjacent Removals,Medium,55.06,https://leetcode.com/problems/resulting-string-after-adjacent-removals/
3557,Find Maximum Number of Non Intersecting Substrings,Medium,28.42,https://leetcode.com/problems/find-maximum-number-of-non-intersecting-substrings/
3543,Maximum Weighted K-Edge Path,Medium,18.62,https://leetcode.com/problems/maximum-weighted-k-edge-path/
3511,Make a Positive Array,Medium,37.97,https://leetcode.com/problems/make-a-positive-array/
3546,Equal Sum Grid Partition I,Medium,42.18,https://leetcode.com/problems/equal-sum-grid-partition-i/
3497,Analyze Subscription Conversion ,Medium,76.09,https://leetcode.com/problems/analyze-subscription-conversion/
3551,Minimum Swaps to Sort by Digit Sum,Medium,50.53,https://leetcode.com/problems/minimum-swaps-to-sort-by-digit-sum/
3558,Number of Ways to Assign Edge Weights I,Medium,54.43,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-i/
3566,Partition Array into Two Equal Product Subsets,Medium,34.99,https://leetcode.com/problems/partition-array-into-two-equal-product-subsets/
3496,Maximize Score After Pair Deletions,Medium,60.63,https://leetcode.com/problems/maximize-score-after-pair-deletions/
3532,Path Existence Queries in a Graph I,Medium,54.66,https://leetcode.com/problems/path-existence-queries-in-a-graph-i/
3552,Grid Teleportation Traversal,Medium,21.69,https://leetcode.com/problems/grid-teleportation-traversal/
3578,Count Partitions With Max-Min Difference at Most K,Medium,37.46,https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k/
3542,Minimum Operations to Convert All Elements to Zero,Medium,23.33,https://leetcode.com/problems/minimum-operations-to-convert-all-elements-to-zero/
3524,Find X Value of Array I,Medium,33.12,https://leetcode.com/problems/find-x-value-of-array-i/
3508,Implement Router,Medium,21.78,https://leetcode.com/problems/implement-router/
3481,Apply Substitutions,Medium,78.67,https://leetcode.com/problems/apply-substitutions/
3513,Number of Unique XOR Triplets I,Medium,24.85,https://leetcode.com/problems/number-of-unique-xor-triplets-i/
3537,Fill a Special Grid,Medium,69.72,https://leetcode.com/problems/fill-a-special-grid/
3529,Count Cells in Overlapping Horizontal and Vertical Substrings,Medium,22.64,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/
3514,Number of Unique XOR Triplets II,Medium,29.43,https://leetcode.com/problems/number-of-unique-xor-triplets-ii/
3531,Count Covered Buildings,Medium,37.51,https://leetcode.com/problems/count-covered-buildings/
3476,Maximize Profit from Task Assignment,Medium,67.26,https://leetcode.com/problems/maximize-profit-from-task-assignment/
3475,DNA Pattern Recognition ,Medium,85.18,https://leetcode.com/problems/dna-pattern-recognition/
3556,Sum of Largest Prime Substrings,Medium,37.02,https://leetcode.com/problems/sum-of-largest-prime-substrings/
3517,Smallest Palindromic Rearrangement I,Medium,62.81,https://leetcode.com/problems/smallest-palindromic-rearrangement-i/
3493,Properties Graph,Medium,46.77,https://leetcode.com/problems/properties-graph/
3466,Maximum Coin Collection ,Medium,52.43,https://leetcode.com/problems/maximum-coin-collection/
3499,Maximize Active Section with Trade I,Medium,29.87,https://leetcode.com/problems/maximize-active-section-with-trade-i/
3484,Design Spreadsheet,Medium,67.63,https://leetcode.com/problems/design-spreadsheet/
3460,Longest Common Prefix After at Most One Removal,Medium,67.91,https://leetcode.com/problems/longest-common-prefix-after-at-most-one-removal/
3489,Zero Array Transformation IV,Medium,29.68,https://leetcode.com/problems/zero-array-transformation-iv/
3494,Find the Minimum Amount of Time to Brew Potions,Medium,35.17,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/
3503,Longest Palindrome After Substring Concatenation I,Medium,43.21,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-i/
3479,Fruits Into Baskets III,Medium,21.79,https://leetcode.com/problems/fruits-into-baskets-iii/
3472,Longest Palindromic Subsequence After at Most K Operations,Medium,36.38,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/
3468,Find the Number of Copy Arrays,Medium,45.92,https://leetcode.com/problems/find-the-number-of-copy-arrays/
3437,Permutations III,Medium,85.71,https://leetcode.com/problems/permutations-iii/
3457,Eat Pizzas!,Medium,32.38,https://leetcode.com/problems/eat-pizzas/
3469,Find Minimum Cost to Remove Array Elements,Medium,18.5,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/
3458,Select K Disjoint Special Substrings,Medium,17.91,https://leetcode.com/problems/select-k-disjoint-special-substrings/
3421,Find Students Who Improved,Medium,46.64,https://leetcode.com/problems/find-students-who-improved/
3462,Maximum Sum With at Most K Elements,Medium,59.91,https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/
3453,Separate Squares I,Medium,37.99,https://leetcode.com/problems/separate-squares-i/
3447,Assign Elements to Groups with Constraints,Medium,25.82,https://leetcode.com/problems/assign-elements-to-groups-with-constraints/
3478,Choose K Elements With Maximum Sum,Medium,31.28,https://leetcode.com/problems/choose-k-elements-with-maximum-sum/
3431,Minimum Unlocked Indices to Sort Nums,Medium,59.69,https://leetcode.com/problems/minimum-unlocked-indices-to-sort-nums/
3584,Maximum Product of First and Last Elements of a Subsequence,Medium,29.72,https://leetcode.com/problems/maximum-product-of-first-and-last-elements-of-a-subsequence/
3443,Maximum Manhattan Distance After K Changes,Medium,31.25,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/
3535,Unit Conversion II,Medium,69.32,https://leetcode.com/problems/unit-conversion-ii/
3434,Maximum Frequency After Subarray Operation,Medium,26.54,https://leetcode.com/problems/maximum-frequency-after-subarray-operation/
3488,Closest Equal Element Queries,Medium,31.23,https://leetcode.com/problems/closest-equal-element-queries/
3446,Sort Matrix by Diagonals,Medium,70.44,https://leetcode.com/problems/sort-matrix-by-diagonals/
3439,Reschedule Meetings for Maximum Free Time I,Medium,31.82,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i/
3440,Reschedule Meetings for Maximum Free Time II,Medium,39.73,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii/
3400,Maximum Number of Matching Indices After Right Shifts,Medium,83.66,https://leetcode.com/problems/maximum-number-of-matching-indices-after-right-shifts/
3523,Make Array Non-decreasing,Medium,54.6,https://leetcode.com/problems/make-array-non-decreasing/
3429,Paint House IV,Medium,43.69,https://leetcode.com/problems/paint-house-iv/
3391,Design a 3D Binary Matrix with Efficient Layer Tracking,Medium,66.43,https://leetcode.com/problems/design-a-3d-binary-matrix-with-efficient-layer-tracking/
3522,Calculate Score After Performing Instructions,Medium,55.56,https://leetcode.com/problems/calculate-score-after-performing-instructions/
3528,Unit Conversion I,Medium,56.6,https://leetcode.com/problems/unit-conversion-i/
3473,Sum of K Subarrays With Length at Least M,Medium,24.91,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/
